trip_id,start_time,end_time,headway_secs
hWDdlZEi3ddx0MFBG78w6-08:00:00,08:00:00,11:00:00,127
hWDdlZEi3ddx0MFBG78w6-11:00:00,11:00:00,15:00:00,132
hWDdlZEi3ddx0MFBG78w6-15:00:00,15:00:00,18:00:00,543
IwSyka0hgnhVD6HeiMv8K-08:00:00,08:00:00,11:00:00,51
IwSyka0hgnhVD6HeiMv8K-11:00:00,11:00:00,15:00:00,46
IwSyka0hgnhVD6HeiMv8K-15:00:00,15:00:00,18:00:00,109
ZytZYb09WGNBNtKf2Pu4i-08:00:00,08:00:00,11:00:00,3600
ZytZYb09WGNBNtKf2Pu4i-11:00:00,11:00:00,15:00:00,116
ZytZYb09WGNBNtKf2Pu4i-15:00:00,15:00:00,18:00:00,83
8MYr21Ykqpgqtb_3h_YlU-08:00:00,08:00:00,11:00:00,955
8MYr21Ykqpgqtb_3h_YlU-11:00:00,11:00:00,15:00:00,227
8MYr21Ykqpgqtb_3h_YlU-15:00:00,15:00:00,18:00:00,253
iQFT8im99h4QAqhPzJv3V-08:00:00,08:00:00,11:00:00,95
iQFT8im99h4QAqhPzJv3V-11:00:00,11:00:00,15:00:00,1137
iQFT8im99h4QAqhPzJv3V-15:00:00,15:00:00,18:00:00,290
ThmFZmBAJqT7tWIJmRJgp-08:00:00,08:00:00,11:00:00,191
ThmFZmBAJqT7tWIJmRJgp-11:00:00,11:00:00,15:00:00,1137
ThmFZmBAJqT7tWIJmRJgp-15:00:00,15:00:00,18:00:00,725
lUW1dBokgMGNxq2LxqKjr-08:00:00,08:00:00,11:00:00,127
lUW1dBokgMGNxq2LxqKjr-11:00:00,11:00:00,15:00:00,132
lUW1dBokgMGNxq2LxqKjr-15:00:00,15:00:00,18:00:00,543
669bKA9IoHjL87T1AZ421-08:00:00,08:00:00,11:00:00,3600
669bKA9IoHjL87T1AZ421-11:00:00,11:00:00,15:00:00,1453
669bKA9IoHjL87T1AZ421-15:00:00,15:00:00,18:00:00,1453
3LJ7eXpaj0PsrQDZE3EDo-08:00:00,08:00:00,11:00:00,92
3LJ7eXpaj0PsrQDZE3EDo-11:00:00,11:00:00,15:00:00,363
3LJ7eXpaj0PsrQDZE3EDo-15:00:00,15:00:00,18:00:00,242
700QdAH9AXoYgf9ox9TSe-08:00:00,08:00:00,11:00:00,51
700QdAH9AXoYgf9ox9TSe-11:00:00,11:00:00,15:00:00,46
700QdAH9AXoYgf9ox9TSe-15:00:00,15:00:00,18:00:00,109
QTLuLO3VL5L795_0NOMQG-08:00:00,08:00:00,11:00:00,3600
QTLuLO3VL5L795_0NOMQG-11:00:00,11:00:00,15:00:00,3600
QTLuLO3VL5L795_0NOMQG-15:00:00,15:00:00,18:00:00,3600
vMFutgrq1IFofWii2k8JO-08:00:00,08:00:00,11:00:00,102
vMFutgrq1IFofWii2k8JO-11:00:00,11:00:00,15:00:00,46
vMFutgrq1IFofWii2k8JO-15:00:00,15:00:00,18:00:00,29
epv2iDpLsj3_nuHA1Dare-08:00:00,08:00:00,11:00:00,3600
epv2iDpLsj3_nuHA1Dare-11:00:00,11:00:00,15:00:00,116
epv2iDpLsj3_nuHA1Dare-15:00:00,15:00:00,18:00:00,83
vfGiHborLSJ8VvaM4MxbG-08:00:00,08:00:00,11:00:00,955
vfGiHborLSJ8VvaM4MxbG-11:00:00,11:00:00,15:00:00,227
vfGiHborLSJ8VvaM4MxbG-15:00:00,15:00:00,18:00:00,253
LMuf1chFVDYrvUUcXZCrD-08:00:00,08:00:00,11:00:00,95
LMuf1chFVDYrvUUcXZCrD-11:00:00,11:00:00,15:00:00,1137
LMuf1chFVDYrvUUcXZCrD-15:00:00,15:00:00,18:00:00,290
J9Q7woWxbZPcWL_moaq7M-08:00:00,08:00:00,11:00:00,442
J9Q7woWxbZPcWL_moaq7M-11:00:00,11:00:00,15:00:00,575
J9Q7woWxbZPcWL_moaq7M-15:00:00,15:00:00,18:00:00,343
EHiHPwjr5jnMeR3S3qsZp-08:00:00,08:00:00,11:00:00,442
EHiHPwjr5jnMeR3S3qsZp-11:00:00,11:00:00,15:00:00,191
EHiHPwjr5jnMeR3S3qsZp-15:00:00,15:00:00,18:00:00,182
Hh5ETllmaQ0oGF_zAf4tn-08:00:00,08:00:00,11:00:00,191
Hh5ETllmaQ0oGF_zAf4tn-11:00:00,11:00:00,15:00:00,1137
Hh5ETllmaQ0oGF_zAf4tn-15:00:00,15:00:00,18:00:00,725
E2ALybREsJP_CWbHbvK5O-08:00:00,08:00:00,11:00:00,3600
E2ALybREsJP_CWbHbvK5O-11:00:00,11:00:00,15:00:00,1453
E2ALybREsJP_CWbHbvK5O-15:00:00,15:00:00,18:00:00,1453
eHb-xTjA7OzwzvwOCdRqT-08:00:00,08:00:00,11:00:00,3600
eHb-xTjA7OzwzvwOCdRqT-11:00:00,11:00:00,15:00:00,3600
eHb-xTjA7OzwzvwOCdRqT-15:00:00,15:00:00,18:00:00,3600
bQsVOnPg9TWzkGfogKXq7-08:00:00,08:00:00,11:00:00,3600
bQsVOnPg9TWzkGfogKXq7-11:00:00,11:00:00,15:00:00,3600
