stop_id,stop_name,stop_lat,stop_lon
1,Sekelela,-15.36517846,28.13258743
2,Bread of life,-15.3655503,28.14899747
3,Bobo - Mungwi Rd,-15.3670623,28.15288342
4,Chilanga,-15.56978814,28.27174274
5,Makeni Konga,-15.49231745,28.16476492
6,Pa Ocean,-15.49060267,28.175493
7,Kalyalya,-15.490056,28.178465
8,Chiwala,-15.48734605,28.17785518
9,Makeni Clinic,-15.48492692,28.17734913
10,DC - Makeni Road,-15.48158291,28.17685054
11,Jehova's Witnesses - Kingdom Hall,-15.48104662,28.18408782
12,PF,-15.284176,28.423452
13,Transformer,-15.28639416,28.42249762
14,Clinic,-15.56465268,28.27164628
15,St. Gabriel Catholic Church,-15.29032245,28.42069686
16,Top star,-15.29198398,28.4199086
17,Roiko,-15.29586242,28.41831602
18,Pet Andrews school ,-15.30147494,28.41636566
19,NZ,-15.30533799,28.414096
20,Hitachi,-15.34357024,28.41599203
21,Harvest filling station,-15.33898316,28.41643233
22,Zambia Air Force junction,-15.33493857,28.41681339
23,Post Office,-15.55855768,28.27398003
24,Chilanga Primary School,-15.5553593,28.2722374
25,Chilanga Golf Club,-15.55145894,28.26961786
26,Puma Filling Station,-15.54906177,28.2683559
27,Puma Filling Station,-15.54909027,28.26827338
28,Chilanga Police Station,-15.54415724,28.26523188
29,Chilanga Police Station,-15.54419279,28.26514712
30,Zambeef Chilanga,-15.54013429,28.26365682
31,Zambeef Chilanga,-15.54014009,28.26356922
32,Zambeef,-15.53462054,28.26284168
33,Zambeef,-15.53368064,28.26247115
34,Mimosa,-15.52424744,28.26122997
35,Mimosa,-15.5242756,28.2611407
36,Lilayi,-15.5150614,28.2627269
37,Lilayi,-15.51506899,28.26261338
38,Sandy's Creations Resort,-15.51147878,28.26231124
39,Sandy's Creations Resort,-15.51141356,28.26238611
40,Sandy's Lodge,-15.50737115,28.26070667
41,Sandy's Lodge,-15.50737909,28.26080231
42,Baobab College,-15.50465094,28.25963731
43,Baobab College,-15.50460366,28.2597161
44,Jan Japan Zambia,-15.50094106,28.25829281
45,Jan Japan Zambia,-15.50095622,28.25818485
46,Linda Junction,-15.48643558,28.25412756
47,Linda Junction,-15.48614334,28.25438377
48,Mall,-15.48704923,28.25269255
49,Elle Bridal and Occasional Wear,-15.48155124,28.25681706
50,Elle Bridal and Occasional Wear,-15.48152244,28.25671587
51,Brands Africa,-15.47776884,28.25910406
52,Brands Africa,-15.47759147,28.25910856
53,Layby,-15.493724,28.24642174
